1,TOTAL SEVEN MAJOR FELONY OFFENSES,1889
5,TOTAL SEVEN MAJOR FELONY OFFENSES,1252
6,TOTAL SEVEN MAJOR FELONY OFFENSES,2067
7,TOTAL SEVEN MAJOR FELONY OFFENSES,1193
9,TOTAL SEVEN MAJOR FELONY OFFENSES,1715
10,TOTAL SEVEN MAJOR FELONY OFFENSES,1276
13,TOTAL SEVEN MAJOR FELONY OFFENSES,1755
14,TOTAL SEVEN MAJOR FELONY OFFENSES,3821
17,TOTAL SEVEN MAJOR FELONY OFFENSES,1113
18,TOTAL SEVEN MAJOR FELONY OFFENSES,2525
19,TOTAL SEVEN MAJOR FELONY OFFENSES,2549
20,TOTAL SEVEN MAJOR FELONY OFFENSES,1175
22,TOTAL SEVEN MAJOR FELONY OFFENSES,88
22,TOTAL SEVEN MAJOR FELONY OFFENSES,1316
23,TOTAL SEVEN MAJOR FELONY OFFENSES,1114
25,TOTAL SEVEN MAJOR FELONY OFFENSES,1461
26,TOTAL SEVEN MAJOR FELONY OFFENSES,937
28,TOTAL SEVEN MAJOR FELONY OFFENSES,979
30,TOTAL SEVEN MAJOR FELONY OFFENSES,912
32,TOTAL SEVEN MAJOR FELONY OFFENSES,1474
33,TOTAL SEVEN MAJOR FELONY OFFENSES,1052
34,TOTAL SEVEN MAJOR FELONY OFFENSES,1539
40,TOTAL SEVEN MAJOR FELONY OFFENSES,3161
41,TOTAL SEVEN MAJOR FELONY OFFENSES,1769
42,TOTAL SEVEN MAJOR FELONY OFFENSES,2337
43,TOTAL SEVEN MAJOR FELONY OFFENSES,3327
44,TOTAL SEVEN MAJOR FELONY OFFENSES,3394
45,TOTAL SEVEN MAJOR FELONY OFFENSES,1825
46,TOTAL SEVEN MAJOR FELONY OFFENSES,2193
47,TOTAL SEVEN MAJOR FELONY OFFENSES,3086
48,TOTAL SEVEN MAJOR FELONY OFFENSES,2335
49,TOTAL SEVEN MAJOR FELONY OFFENSES,2182
50,TOTAL SEVEN MAJOR FELONY OFFENSES,1563
52,TOTAL SEVEN MAJOR FELONY OFFENSES,2523
60,TOTAL SEVEN MAJOR FELONY OFFENSES,1255
61,TOTAL SEVEN MAJOR FELONY OFFENSES,1522
62,TOTAL SEVEN MAJOR FELONY OFFENSES,1423
63,TOTAL SEVEN MAJOR FELONY OFFENSES,1163
66,TOTAL SEVEN MAJOR FELONY OFFENSES,1163
67,TOTAL SEVEN MAJOR FELONY OFFENSES,2033
68,TOTAL SEVEN MAJOR FELONY OFFENSES,888
69,TOTAL SEVEN MAJOR FELONY OFFENSES,815
70,TOTAL SEVEN MAJOR FELONY OFFENSES,1279
71,TOTAL SEVEN MAJOR FELONY OFFENSES,1097
72,TOTAL SEVEN MAJOR FELONY OFFENSES,1339
73,TOTAL SEVEN MAJOR FELONY OFFENSES,1620
75,TOTAL SEVEN MAJOR FELONY OFFENSES,3854
76,TOTAL SEVEN MAJOR FELONY OFFENSES,491
77,TOTAL SEVEN MAJOR FELONY OFFENSES,1428
78,TOTAL SEVEN MAJOR FELONY OFFENSES,1176
79,TOTAL SEVEN MAJOR FELONY OFFENSES,1452
81,TOTAL SEVEN MAJOR FELONY OFFENSES,1064
83,TOTAL SEVEN MAJOR FELONY OFFENSES,2086
84,TOTAL SEVEN MAJOR FELONY OFFENSES,1350
88,TOTAL SEVEN MAJOR FELONY OFFENSES,819
90,TOTAL SEVEN MAJOR FELONY OFFENSES,1791
94,TOTAL SEVEN MAJOR FELONY OFFENSES,1245
100,TOTAL SEVEN MAJOR FELONY OFFENSES,439
101,TOTAL SEVEN MAJOR FELONY OFFENSES,712
102,TOTAL SEVEN MAJOR FELONY OFFENSES,1395
103,TOTAL SEVEN MAJOR FELONY OFFENSES,2043
104,TOTAL SEVEN MAJOR FELONY OFFENSES,1819
105,TOTAL SEVEN MAJOR FELONY OFFENSES,1898
106,TOTAL SEVEN MAJOR FELONY OFFENSES,1634
107,TOTAL SEVEN MAJOR FELONY OFFENSES,1636
108,TOTAL SEVEN MAJOR FELONY OFFENSES,1821
109,TOTAL SEVEN MAJOR FELONY OFFENSES,3232
110,TOTAL SEVEN MAJOR FELONY OFFENSES,2854
111,TOTAL SEVEN MAJOR FELONY OFFENSES,1311
112,TOTAL SEVEN MAJOR FELONY OFFENSES,953
113,TOTAL SEVEN MAJOR FELONY OFFENSES,1234
114,TOTAL SEVEN MAJOR FELONY OFFENSES,2410
115,TOTAL SEVEN MAJOR FELONY OFFENSES,2213
120,TOTAL SEVEN MAJOR FELONY OFFENSES,1376
121,TOTAL SEVEN MAJOR FELONY OFFENSES,942
122,TOTAL SEVEN MAJOR FELONY OFFENSES,912